Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Consumption
ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,31,0,K003100,,,"S.J. Fuel Co., Inc.",4245729,1/1/12,12/23/11,1/25/12,33,0298920000-OIL-66.8%,N         ,"$304,747.89 ",94162.62
ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,85,0,K008500,,,"S.J. Fuel Co., Inc.",4245729,1/1/12,12/23/11,1/25/12,33,0298920000-OIL-33.2%,N         ,"$151,461.53 ",46799.38
ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,31,0,K003100,,,"S.J. Fuel Co., Inc.",4245735,2/1/12,1/25/12,2/23/12,29,0298920000-OIL-66.8%,N         ,"$268,485.06 ",79381.78
ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,85,0,K008500,,,"S.J. Fuel Co., Inc.",4245735,2/1/12,1/25/12,2/23/12,29,0298920000-OIL-33.2%,N         ,"$133,438.68 ",39453.22
ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,31,0,K003100,,,"S.J. Fuel Co., Inc.",4245741,3/1/12,2/23/12,3/26/12,32,0298920000-OIL-66.8%,N         ,"$234,692.88 ",67628.99
ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,85,0,K008500,,,"S.J. Fuel Co., Inc.",4245741,3/1/12,2/23/12,3/26/12,32,0298920000-OIL-33.2%,N         ,"$116,643.76 ",33612.01
ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,31,0,K003100,,,"S.J. Fuel Co., Inc.",4245743,4/1/12,3/26/12,4/25/12,30,0298920000-OIL-66.8%,N         ,"$50,462.16 ",14893.06
ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,85,0,K008500,,,"S.J. Fuel Co., Inc.",4245743,4/1/12,3/26/12,4/25/12,30,0298920000-OIL-33.2%,N         ,"$25,079.99 ",7401.94
ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,31,0,K003100,,,"S.J. Fuel Co., Inc.",4245748,11/1/12,10/24/12,11/26/12,33,0298920000-OIL-66.8%,N         ,"$1,215.01 ",359.38
ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,85,0,K008500,,,"S.J. Fuel Co., Inc.",4245748,11/1/12,10/24/12,11/26/12,33,0298920000-OIL-33.2%,N         ,$603.86 ,178.62
ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,,265,380,M026500,FEDERAL,NY005011000P,"S.J. Fuel Co., Inc.",2896867,1/1/12,12/23/11,1/25/12,33,495416010900009-OIL,N         ,"$21,801.61 ",6773
ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,,265,380,M026500,FEDERAL,NY005011000P,"S.J. Fuel Co., Inc.",2896868,2/1/12,1/25/12,2/24/12,30,495416010900009-OIL,N         ,"$23,677.39 ",7037
ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,,265,380,M026500,FEDERAL,NY005011000P,"S.J. Fuel Co., Inc.",2896869,3/1/12,2/24/12,3/26/12,31,495416010900009-OIL,N         ,"$15,119.81 ",4379
ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,,265,380,M026500,FEDERAL,NY005011000P,"S.J. Fuel Co., Inc.",2896870,4/1/12,3/26/12,4/24/12,29,495416010900009-OIL,N         ,"$11,073.08 ",3285
ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,,265,380,M026500,FEDERAL,NY005011000P,"S.J. Fuel Co., Inc.",2896871,5/1/12,4/24/12,5/23/12,29,495416010900009-OIL,N         ,$42.00 ,14
ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,,265,380,M026500,FEDERAL,NY005011000P,"S.J. Fuel Co., Inc.",2896872,6/1/12,5/23/12,6/22/12,30,495416010900009-OIL,N         ,$40.16 ,14
ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,,265,380,M026500,FEDERAL,NY005011000P,"S.J. Fuel Co., Inc.",2896873,10/1/12,9/21/12,10/23/12,32,495416010900009-OIL,N         ,"$5,066.71 ",1462
ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,,265,380,M026500,FEDERAL,NY005011000P,"S.J. Fuel Co., Inc.",2896874,11/1/12,10/23/12,11/21/12,29,495416010900009-OIL,N         ,"$13,628.09 ",4052
ALLEN STREET,MANHATTAN,ALLEN STREET,,Not Applicable,,265,380,M026500,FEDERAL,NY005011000P,"S.J. Fuel Co., Inc.",2896875,12/1/12,11/21/12,12/24/12,33,495416010900009-OIL,N         ,"$8,652.39 ",2643
AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,,Not Applicable,,150,258,M015000,FEDERAL,NY005010820P,"S.J. Fuel Co., Inc.",2896511,1/1/12,12/23/11,1/25/12,33,495416060200003-OIL,N         ,$508.59 ,158
AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,,Not Applicable,,150,258,M015000,FEDERAL,NY005010820P,"S.J. Fuel Co., Inc.",2896512,3/1/12,2/24/12,3/26/12,31,495416060200003-OIL,N         ,$183.00 ,53
AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,,Not Applicable,,150,258,M015000,FEDERAL,NY005010820P,"S.J. Fuel Co., Inc.",2896513,4/1/12,3/26/12,4/24/12,29,495416060200003-OIL,N         ,$84.27 ,25
AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,,Not Applicable,,150,258,M015000,FEDERAL,NY005010820P,"S.J. Fuel Co., Inc.",2896514,7/1/12,6/22/12,7/24/12,32,495416060200003-OIL,N         ,$18.54 ,6
ARMSTRONG I,BROOKLYN,ARMSTRONG I,,Not Applicable,,210,325,K021000,FEDERAL,NY005012100P,"S.J. Fuel Co., Inc.",2898012,4/1/12,3/26/12,4/25/12,30,0248910120-OIL,N         ,"$1,016.49 ",300
ARMSTRONG I,BROOKLYN,ARMSTRONG I,,Not Applicable,,210,325,K021000,FEDERAL,NY005012100P,"S.J. Fuel Co., Inc.",2898009,1/1/12,12/23/11,1/25/12,33,0248911700-OIL,N         ,"$5,362.71 ",1657
ARMSTRONG II,BROOKLYN,ARMSTRONG II,,Not Applicable,,228,355,K022800,FEDERAL,NY005012100P,"S.J. Fuel Co., Inc.",2898010,2/1/12,1/25/12,2/23/12,29,0248911110-OIL,N         ,"$1,281.85 ",379
ASTORIA,QUEENS,ASTORIA,,Not Applicable,,26,517,Q002600,FEDERAL,NY005000260P,"East Coast Petroleum, Inc.",2897248,2/1/12,1/25/12,2/24/12,30,295416000300006-OIL,N         ,"$396,180.76 ",117137
ASTORIA,QUEENS,ASTORIA,,Not Applicable,,26,517,Q002600,FEDERAL,NY005000260P,"East Coast Petroleum, Inc.",2897249,3/1/12,2/24/12,3/26/12,31,295416000300006-OIL,N         ,"$313,985.80 ",90478
ASTORIA,QUEENS,ASTORIA,,Not Applicable,,26,517,Q002600,FEDERAL,NY005000260P,"East Coast Petroleum, Inc.",2897250,4/1/12,3/26/12,4/24/12,29,295416000300006-OIL,N         ,"$98,104.84 ",28954
ASTORIA,QUEENS,ASTORIA,,Not Applicable,,26,517,Q002600,FEDERAL,NY005000260P,"East Coast Petroleum, Inc.",2897251,5/1/12,4/24/12,5/23/12,29,295416000300006-OIL,N         ,"$2,508.65 ",790
ASTORIA,QUEENS,ASTORIA,,Not Applicable,,26,517,Q002600,FEDERAL,NY005000260P,"East Coast Petroleum, Inc.",2897252,6/1/12,5/23/12,6/22/12,30,295416000300006-OIL,N         ,"$2,236.57 ",790
